lncrna_id,n_annotated_partners,Late Embryogenesis Abundant (LEA),Dehydrin / Cold Shock,Heat Shock Protein / Chaperone,ABA Signalling,Antioxidant / ROS Scavenging,Osmotic / Trehalose Metabolism,Ubiquitin / Proteasome,Autophagy,Transcription Factor,Protein Kinase / Signalling,Cell Wall Remodelling,Chloroplast / Photosynthesis,Aquaporin / Water Transport,Lipid Metabolism,Protein Synthesis / Ribosome
Cp_V2_contig_12238,174,3,0,0,1,0,2,6,0,4,11,0,21,0,3,4
Cp_V2_contig_4950,92,1,0,0,1,0,2,0,0,2,8,0,9,0,2,6
Cp_V2_contig_2815,78,0,0,0,1,0,1,1,1,4,5,0,9,1,1,1
Cp_V2_contig_45133,74,0,0,0,1,1,0,1,0,2,7,0,18,1,1,0
Cp_V2_contig_24180,67,0,0,0,1,1,0,1,0,2,6,0,18,1,3,0
Cp_V2_contig_670,65,0,0,0,1,1,0,1,0,2,7,0,12,1,0,0
Cp_V2_contig_551,64,0,0,0,1,1,0,1,0,2,8,0,14,1,1,0
Cp_V2_contig_47679,60,0,0,0,1,1,0,1,0,3,5,0,10,1,0,1
Cp_V2_contig_8442,49,0,0,0,1,0,0,0,0,1,7,0,5,0,0,2
Cp_V2_contig_43263,45,0,0,0,1,1,0,0,0,3,5,0,8,1,0,0
Cp_V2_contig_3232,21,0,0,0,0,0,0,0,0,1,1,0,6,0,1,1
Cp_V2_contig_692,14,0,0,0,0,0,0,0,0,1,0,0,5,0,1,1
Cp_V2_contig_6094,8,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0
Cp_V2_contig_15059,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
