gene_id,log2FC,pvalue,mean_hyd,mean_des,mean_rehyd
Cp_V2_contig_551,10.94,0.039,0.0,1957.3,2353.6
Cp_V2_contig_4950,9.9,0.046,0.0,957.1,708.6
Cp_V2_contig_43263,9.86,0.012,0.0,925.2,1033.1
Cp_V2_contig_2815,9.85,0.049,0.0,922.0,878.7
Cp_V2_contig_6094,9.73,0.03,0.0,850.1,542.1
Cp_V2_contig_670,9.69,0.05,0.0,822.7,1016.1
Cp_V2_contig_47679,9.58,0.033,0.0,764.1,623.9
Cp_V2_contig_45133,9.57,0.049,0.0,761.5,1182.0
Cp_V2_contig_692,9.56,0.044,0.0,755.4,587.0
Cp_V2_contig_3232,9.44,0.045,0.0,693.0,325.1
Cp_V2_contig_24180,9.32,0.045,0.0,638.1,764.1
Cp_V2_contig_12238,9.3,0.039,0.0,629.6,403.2
Cp_V2_contig_15059,9.21,0.013,0.0,590.8,295.3
Cp_V2_contig_8442,9.21,0.005,0.0,590.2,331.4
