"","hydrated","desiccated","rehydrated"
"MEblack",-0.379753663927798,-0.162766856319131,0.509069373338377
"MEblue",-0.638023927283874,0.318632457825107,0.209256427791358
"MEbrown",-0.314602246593704,0.123322168463525,0.140051836953535
"MEcyan",-0.232554341618547,-0.194832342258274,0.415569584559565
"MEdarkgreen",-0.249998641080453,-0.00147453903489789,0.219825558060096
"MEdarkgrey",-0.187870735080622,0.301400802253537,-0.164868214130498
"MEdarkolivegreen",-0.248485129126936,0.496970258253871,-0.325343403798588
"MEdarkorange",0.517330971850186,-0.129195708967508,-0.310599417731368
"MEdarkred",-0.230780987014939,-0.230673593444449,0.453127684844933
"MEdarkturquoise",0.273581750532949,0.195947132176991,-0.452597578540759
"MEgreen",-0.279134670787306,0.560820853394896,-0.368257001337219
"MEgreenyellow",-0.45105914740569,0.219457829211315,0.154268579642741
"MEgrey",-0.323659767988999,0.167054150221158,0.100242385817182
"MEgrey60",-0.98845069705645,0.469325467510112,0.350714436085431
"MElightcyan",-0.166666666666667,-0.333333333333333,0.509175077217315
"MElightgreen",-0.33369276662608,0.459193271049438,-0.209750008014244
"MElightyellow",-0.316640259978811,0.635710263779084,-0.417230484830781
"MEmagenta",-0.56943555085774,0.459643326054377,-0.00446788622901849
"MEmidnightblue",-0.257198362644259,0.515108012631244,-0.337527782526698
"MEorange",-0.306070615846869,0.63265914951636,-0.423127388016449
"MEpaleturquoise",-0.264216824905965,0.475221664191039,-0.2878819923877
"MEpink",-0.166666666666667,0.333333333333334,-0.218217890235992
"MEpurple",-0.578543773851105,0.776208351533363,-0.341918337320011
"MEred",-0.72124629354425,0.53963840483826,0.0407616071004146
"MEroyalblue",-0.71416376241749,0.0258718796000868,0.59514470315712
"MEsaddlebrown",-0.137495514821622,0.618886691263692,-0.55524481566834
"MEsalmon",0.0137663609657442,0.0647626407831857,-0.0826780991737783
"MEskyblue",-0.403393891088884,-0.070636508266298,0.42918180442756
"MEsteelblue",-0.744624465388782,0.660614941268718,-0.0708284742891929
"MEtan",0.0355879491998897,-0.02486124889623,-0.00393786235506648
"MEturquoise",-0.166666666666666,0.333333333333333,-0.218217890235993
"MEviolet",-0.190840803024835,0.374045816255753,-0.241537934746561
"MEwhite",-0.166666666666667,0.333333333333333,-0.218217890235992
"MEyellow",-0.459490373772568,0.337210845347478,0.0331488836114784
